,property_type,seller,status,rate per sqft,price,area,location,RERA
282,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.03 Cr,1616 ,Manikonda,approval by RERA
283,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.24 Cr,1941 ,Manikonda,approval by RERA
284,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.73 Cr,2712 ,Manikonda,approval by RERA
285,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.03 Cr,1616 ,Manikonda,approval by RERA
286,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.14 Cr,1785 ,Manikonda,approval by RERA
287,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.73 Cr,2712 ,Manikonda,approval by RERA
288,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.14 Cr,1785 ,Manikonda,approval by RERA
289,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.57 Cr,2468 ,Manikonda,approval by RERA
290,3 BHK Apartment in Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,400 / sq ft", 1.57 Cr,2468 ,Manikonda,approval by RERA
291,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.69 Cr,2780 ,Yapral,approval by RERA
292,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.26 Cr,2070 ,Yapral,approval by RERA
293,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 93.49 L,1612 ,Saidabad,approval by RERA
294,2 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 74.53 L,1285 ,Saidabad,approval by RERA
295,2 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 60.9 L,1050 ,Saidabad,approval by RERA
296,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 81.02 L,1397 ,Saidabad,approval by RERA
297,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 80.91 L,1395 ,Saidabad,approval by RERA
298,3 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 93.58 L,1950 ,Mallampet,approval by RERA
299,3 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 77.98 L,1625 ,Mallampet,approval by RERA
300,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.34 Cr,2200 ,Sainikpuri,approval by RERA
301,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.33 Cr,2195 ,Sainikpuri,approval by RERA
302,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.29 Cr,2130 ,Sainikpuri,approval by RERA
303,3 BHK Apartment in Om Sree Brilliance,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.3 Cr,2140 ,Sainikpuri,approval by RERA
304,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 1.24 Cr,2500 ,Rameswaram Banda,not approval by RERA
305,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 1.2 Cr,2420 ,Rameswaram Banda,not approval by RERA
306,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 99.98 L,2000 ,Rameswaram Banda,not approval by RERA
307,2 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 65.96 L,1305 ,Pocharam,approval by RERA
308,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 86.44 L,1710 ,Pocharam,approval by RERA
309,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 1.17 Cr,2315 ,Pocharam,approval by RERA
310,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 1.06 Cr,2115 ,Pocharam,approval by RERA
311,3 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 96.8 L,1915 ,Pocharam,approval by RERA
312,2 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 59.14 L,1170 ,Pocharam,approval by RERA
313,4 BHK Villa in Northstar Hillside,seller,Ready to move,"20,000 / sq ft", 14 Cr,7000 ,Gandipet,not approval by RERA
314,3 BHK Apartment,seller,Ready to move,"4,246 / sq ft", 62 L,1460 ,Dilsukh Nagar,not approval by RERA
315,2 BHK Independent House,seller,Ready to move,"6,363 / sq ft", 70 L,1100 ,Laxmiguda,not approval by RERA
316,2 BHK Apartment,seller,Under Construction,"4,833 / sq ft", 58 L,1200 ,Pragathi Nagar Kukatpally,not approval by RERA
317,2 BHK Apartment in Greenmetro Tulasi Bhagyanagar,seller,Ready to move,"4,300 / sq ft", 64.5 L,1500 ,Gagillapur,not approval by RERA
318,2 BHK Apartment,seller,Under Construction,"5,000 / sq ft", 60 L,1200 ,Kompally,not approval by RERA
319,2 BHK Apartment,seller,Ready to move,"4,000 / sq ft", 40 L,1000 ,Kapra,not approval by RERA
320,2 BHK Apartment,seller,Ready to move,"4,000 / sq ft", 40 L,1000 ,Kapra,not approval by RERA
321,2 BHK Apartment in Shree Anurag Sri Sai Anurag New Town Phase 2,seller,Ready to move,"4,744 / sq ft", 40 L,843 ,Thumkunta,not approval by RERA
322,2 BHK Apartment in Idream Sai RKs Oxygen Homes,seller,Under Construction,"3,968 / sq ft", 50 L,1260 ,Gajulramaram Kukatpally,approval by RERA
323,3 BHK Apartment in Swaraj Homes Mandadi Mansion,seller,Ready to move,"6,505 / sq ft", 1.04 Cr,1614 ,Saroor Nagar,not approval by RERA
324,2 BHK Independent House,seller,Ready to move,"4,761 / sq ft", 50 L,1050 ,Laxmiguda,not approval by RERA
325,3 BHK Apartment,seller,Ready to move,"4,736 / sq ft", 72 L,1520 ,Puppalaguda,not approval by RERA
326,3 BHK Independent House,seller,Ready to move,"4,500 / sq ft", 1.8 Cr,4000 ,Vanasthalipuram,not approval by RERA
327,2 BHK Apartment in Concept Onyx,seller,Ready to move,"5,038 / sq ft", 65 L,1290 ,Kompally,not approval by RERA
328,2 BHK Independent House,seller,Ready to move,"5,619 / sq ft", 59 L,1050 ,Laxmiguda,not approval by RERA
329,2 BHK Apartment,seller,Ready to move,"4,900 / sq ft", 62.08 L,1267 ,Bachupally,not approval by RERA
330,4 BHK Apartment in Tripura Gayathri Classic,seller,Ready to move,"6,715 / sq ft", 74 L,1102 ,Nallagandla Gachibowli,not approval by RERA
331,2 BHK Apartment,seller,Ready to move,"3,864 / sq ft", 40 L,1035 ,Suraram,not approval by RERA
332,3 BHK Apartment in Ohana Summit,seller,Ready to move,"5,852 / sq ft", 91 L,1555 ,Kukatpally,not approval by RERA
333,2 BHK Apartment,seller,Ready to move,"5,735 / sq ft", 55 L,959 ,Manikonda,not approval by RERA
334,2 BHK Apartment,seller,Ready to move,"5,630 / sq ft", 54 L,959 ,Manikonda,not approval by RERA
335,7 BHK Independent House,seller,Ready to move,"3,365 / sq ft", 1.75 Cr,5200 ,Nagaram,not approval by RERA
336,2 BHK Apartment in Spectra Metro Heights,seller,Ready to move,"5,872 / sq ft", 73 L,1243 ,Nagole,not approval by RERA
337,2 BHK Apartment in Subishi Town Centre,seller,Ready to move,"5,092 / sq ft", 55 L,1080 ,Mokila,not approval by RERA
338,2 BHK Apartment,seller,Ready to move,"6,857 / sq ft", 72 L,1050 ,Masab Tank,not approval by RERA
339,4 BHK Independent House,seller,Ready to move,"19,318 / sq ft", 4.25 Cr,2200 ,Tarnaka,not approval by RERA
340,3 BHK Villa,seller,Under Construction,"6,818 / sq ft", 1.5 Cr,2200 ,Indresham,not approval by RERA
341,2 BHK Apartment,seller,Ready to move,"5,934 / sq ft", 68.25 L,1150 ,Manikonda,not approval by RERA
342,2 BHK Apartment,seller,Under Construction,"3,000 / sq ft", 42 L,1400 ,Chandanagar,not approval by RERA
343,3 BHK Apartment,seller,Ready to move,"4,050 / sq ft", 45 L,1111 ,Alwal,not approval by RERA
344,4 BHK Villa in Giridhari Prospera County,Giridhari Constructions,Under Construction,"15,000 / sq ft", 7.12 Cr,4750 ,Kismatpur,approval by RERA
345,3 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"5,475 / sq ft", 2.19 Cr,4000 ,Harshaguda,approval by RERA
346,5 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"6,348 / sq ft", 4.44 Cr,7000 ,Harshaguda,approval by RERA
347,5 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"7,223 / sq ft", 6.5 Cr,9000 ,Harshaguda,approval by RERA
348,5 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"6,348 / sq ft", 4.44 Cr,7000 ,Harshaguda,approval by RERA
349,4 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"6,348 / sq ft", 3.33 Cr,5250 ,Harshaguda,approval by RERA
350,4 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"6,348 / sq ft", 3.33 Cr,5250 ,Harshaguda,approval by RERA
351,3 BHK Independent House,seller,Ready to move,"13,636 / sq ft", 1.5 Cr,1100 ,Qutub Shahi Tombs,not approval by RERA
352,3 BHK Independent House,seller,Ready to move,"16,666 / sq ft", 1.5 Cr,900 ,Santoshnagar,not approval by RERA
353,2 BHK Apartment,seller,Ready to move,"3,597 / sq ft", 40 L,1112 ,Nizampet,not approval by RERA
354,2 BHK Apartment,seller,Ready to move,"5,440 / sq ft", 68 L,1250 ,Kukatpally,not approval by RERA
355,2 BHK Apartment,seller,Under Construction,"7,333 / sq ft", 66 L,900 ,Erragadda,not approval by RERA
356,3 BHK Apartment in Jaya Hillton Classic Mega Gated Community,seller,Under Construction,"5,183 / sq ft", 92 L,1775 ,Chandanagar,approval by RERA
357,2 BHK Apartment in Chaitra Meadows,seller,Ready to move,"4,909 / sq ft", 54 L,1100 ,Mallampet,not approval by RERA
358,2 BHK Apartment,seller,Ready to move,"5,000 / sq ft", 60 L,1200 ,AS Rao Nagar,not approval by RERA
359,8 BHK Independent House,seller,Ready to move,"8,950 / sq ft", 2.9 Cr,3240 ,Moula Ali,not approval by RERA
360,2 BHK Apartment in Meridian Constructions Hyderabad Meridian Pride,seller,Ready to move,"5,595 / sq ft", 70 L,1251 ,Alwal,not approval by RERA
361,2 BHK Apartment,seller,Under Construction,"5,636 / sq ft", 62 L,1100 ,Padmarao Nagar,not approval by RERA
362,2 BHK Apartment,seller,Ready to move,"5,000 / sq ft", 51 L,1020 ,Mallapur,not approval by RERA
363,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.07 Cr,1710 ,Nizampet,approval by RERA
364,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.15 Cr,1835 ,Nizampet,approval by RERA
365,2 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 85.68 L,1360 ,Nizampet,approval by RERA
366,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.17 Cr,1870 ,Nizampet,approval by RERA
367,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.07 Cr,1710 ,Nizampet,approval by RERA
368,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.14 Cr,1820 ,Nizampet,approval by RERA
369,2 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 85.68 L,1360 ,Nizampet,approval by RERA
370,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.14 Cr,1820 ,Nizampet,approval by RERA
371,2 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 79.06 L,1255 ,Nizampet,approval by RERA
372,2 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 79.06 L,1255 ,Nizampet,approval by RERA
373,2 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 80.01 L,1270 ,Nizampet,approval by RERA
374,2 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 80.01 L,1270 ,Nizampet,approval by RERA
375,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 98.16 L,1636 ,Manikonda,not approval by RERA
376,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 98.16 L,1636 ,Manikonda,not approval by RERA
377,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 78.48 L,1308 ,Manikonda,not approval by RERA
378,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 78.48 L,1308 ,Manikonda,not approval by RERA
379,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 75.12 L,1252 ,Manikonda,not approval by RERA
380,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 75.12 L,1252 ,Manikonda,not approval by RERA
381,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.05 Cr,1750 ,Manikonda,not approval by RERA
382,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.05 Cr,1750 ,Manikonda,not approval by RERA
383,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.09 Cr,1827 ,Manikonda,not approval by RERA
384,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.09 Cr,1827 ,Manikonda,not approval by RERA
385,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 98.16 L,1636 ,Manikonda,not approval by RERA
386,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 77.88 L,1298 ,Manikonda,not approval by RERA
387,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 77.88 L,1298 ,Manikonda,not approval by RERA
388,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 78.48 L,1308 ,Manikonda,not approval by RERA
389,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 75.12 L,1252 ,Manikonda,not approval by RERA
390,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 97.8 L,1630 ,Manikonda,not approval by RERA
391,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 97.8 L,1630 ,Manikonda,not approval by RERA
392,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.05 Cr,1750 ,Manikonda,not approval by RERA
393,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 96.66 L,1611 ,Manikonda,not approval by RERA
394,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 96.66 L,1611 ,Manikonda,not approval by RERA
395,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.09 Cr,1827 ,Manikonda,not approval by RERA
396,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 77.88 L,1298 ,Manikonda,not approval by RERA
397,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 93 L,1550 ,Manikonda,not approval by RERA
398,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 93 L,1550 ,Manikonda,not approval by RERA
399,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 97.8 L,1630 ,Manikonda,not approval by RERA
400,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 76.86 L,1281 ,Manikonda,not approval by RERA
401,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 76.86 L,1281 ,Manikonda,not approval by RERA
402,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 96.66 L,1611 ,Manikonda,not approval by RERA
403,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 93 L,1550 ,Manikonda,not approval by RERA
404,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.07 Cr,1785 ,Manikonda,not approval by RERA
405,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 1.07 Cr,1785 ,Manikonda,not approval by RERA
406,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,000 / sq ft", 76.86 L,1281 ,Manikonda,not approval by RERA
